Japanese,English
風邪薬,"remedy for a cold, cold medicine"
くしゃみ,sneeze
無邪気,"innocence, simple-mindedness"
だるい,"dull, sluggish, weary"
手洗い,"toilet, washstand, washing hands"
青い,blue
格好,"shape, form, figure, appearance"
青年,"youth, young man"
真っ青,"deep-blue, pale (skin)"
空,"sky, weather"
青,"blue, green, (abr.) green light"
目,eye
青白い,"pale, pallid"
当たる,"hit, strike"
頭,"head, chief, top"
先頭,"forefront, lead, head"
頭,head
痛い,"sore, painful"
今朝,this morning
頭痛,headache
たまらない,"can't stand, can't put up with"
冷やす,"chill (something), cool down"
セールスマン,"sales representative, salesperson"
以降,"hereafter, on and after"
リットル,"liter, litre"
以前,"before, ago"
以来,since
行,"line, row, verse"
以上,"not less than, more than"
以後,"from now on, after this"
特定,"specific, particular"
観察,"observation, supervision"
調べ,"investigation, inquiry"
警察,police
怪しむ,suspect
十分,"full, plentiful"
十日,"ten days, 10th of the month"
十,ten
どちら,"which, which direction"
魚,fish
生,"raw, fresh"
加工,"manufacturing, processing"
どこ,where
置く,"put, leave"
ずれる,"go off track, shift, be out of alignment"
間,"interval, duration of time, chamber"
新聞,newspaper
重点,"important point, emphasis"
去年,last year (colloquial)
データ,data
過去,the past
去る,"go away, leave"
流行る,"be in fashion, be popular"
引っ越し,moving (house)
所得,"income, earnings"
残り,"remnant, left-over"
残る,"remain, be left over"
もったいない,"wasteful, a shame"
残業,overtime
残す,"leave, reserve, leave undone"
残暑,lingering summer heat
伝説,"legend, folk tale"
地上,above ground
のろのろ,"slowly, sluggishly"
全力,"all one's might, full capacity"
計る,"compute, measure"
同時,simultaneous
次々に,"one after another, successively"
ペース,pace
速い,fast
突然,"abruptly, suddenly"
別,"another, different"
別々,separately
特別,"special, extraordinary"
性別,"sex, gender"
性,"sex, nature"
差別,discrimination
別に,(not) particularly; nothing special
別れる,"separate, part from"
送別,"farewell, send-off"
状態,"state, appearance"
態度,"attitude, manner"
不自然,"unnatural, artificial"
財政,"financial affairs, public finance"
具体的,"concrete, definite, specific"
例,"example, precedent"
例える,"compare, liken"
例年,"normal year, average year"
用例,"example, illustration"
実例,"example, instance"
例文,"illustrative sentence, example"
例題,"example, exercise"
例えば,for example
増す,"increase, augment"
増える,(something) increases
外国人,foreigner
年々,"year by year, annually"
急増,sudden increase
増大,"increase, enlargement"
増減,"increase and decrease, rise and fall"
家計,family finances
主任,"person in charge, head"
辞任,resignation
任務,"duty, function, mission, task"
相談,"consultation, advice"
思い切って,"boldly, decisively"
日ソ,Japanese-Soviet
医者,doctor
部長,"section chief, department head"
運用,"operation, handling"
上司,boss
雑談,"chat, idle talk"
嫌い,dislike
嫌,"dislike, have a dislike for"
大嫌い,hate
ラッシュアワー,rush hour
にんじん,carrot
嫌う,dislike
好き嫌い,"likes and dislikes, taste"
機嫌,"mood, health"
不機嫌,"bad mood, displeasure"
漢語,"Chinese word, Sino-Japanese word"
漢字,Chinese character
読み方,"way of reading, reading"
字引,dictionary
音読み,Chinese-derived kanji reading
書き方,"how to write, way of writing"
伝わる,"be transmitted, be handed down"
書き取り,"dictation, writing down from other written material"
卒業,graduation
一昨年,the year before last
見込み,"hope, possibility, prospect"
論文,"thesis, paper"
差,"difference, variation"
収支,earnings and expenses
買収,"buying up, bribing"
パターン,pattern
文学,literature
洋風,Western style
洋画,foreign film
洋服,clothes (western-style)
洋式,Western style
洋間,Western-style room
白い,"white, blank"
生える,"grow, spring up"
歯ブラシ,toothbrush
歯医者,dentist
かゆい,itchy
背中,(one's) back
背広,business suit
背,"height, stature"
好む,"like, be fond of"
痛み,"pain, ache"
一番,"most, best"
課題,"task, problem"
早朝,early morning
課,"section, division, lesson"
送別会,farewell party
行政,administration
内緒,"secrecy, privacy"
伝言,verbal message
日課,daily routine
しばしば,"again and again, frequently"
向こう側,"other side, opposite side"
両側,both sides
座る,"sit, sit down"
内側,"inside, interior"
外側,"exterior, outer, external"
白線,"white line, warning line"
側面,"side, flank"
ぶつぶつ,grumble
独り言,"soliloquy, monologue"
独立,"independence, self-reliance"
独特,"peculiarity, uniqueness"
ただ,"simply, merely"
論,"argument, opinion"
独身,"single life, celibacy"
意外,"unexpected, unforeseen"
水,water
一杯,full
もう,"another, again"
会場,"venue, meeting place"
コップ,"cup, glass"
言う,"say, declare"
換える,"exchange, convert"
タイヤ,tire
トイレットペーパー,toilet paper
交換,"exchange, bartering"
シーツ,sheet
消火器,fire extinguisher
変換,"change, conversion"
乗り換え,"transfer, change (trains)"
電球,light bulb
大量,"large quantity, great volume"
重量,"weight, heavy"
質,"quality, nature"
量,"quantity, volume"
下げる,"lower, turn down"
生命,life
命,life
命じる,"order, give orders"
発達,"development, growth"
進歩,"progress, advancement, improvement"
球,"globe, ball"
値,"value, worth, count, number, variable"
真理,truth
要求,"requirement, demand"
正当,"just, legal, lawful"
求める,"seek, wish for"
大勢,"large numbers, a lot of (people)"
勢い,"vigor, momentum"
方々,people (polite)
見物人,"spectator, sightseer"
情勢,"state of affairs, circumstances"
ハンドル,steering wheel
回す,"turn, rotate (something)"
曲がる,"make a turn, turn"
左,left
交差点,"crossing, intersection"
角,"corner, edge, angle"
左利き,"left-handedness, left-hander"
左手,left hand
左側,left side
隣り合う,"adjoin, be next door to each other"
おじさん,"Mister, middle-aged man"
聞こえる,"hear, be heard"
村,"village, hamlet"
話し声,speaking voice
隣,"neighbor, next to"
雑誌,"magazine, journal"
発行,"publication, issue"
売店,"booth, store"
読む,read
焼ける,"burn, be scorched, be baked"
肉,"flesh, meat"
日焼け,"sunburn, suntan"
焼き肉,"grilled meat, barbequed meat"
すき焼き,sukiyaki
焼く,"burn, bake, be envious"
夕焼け,sunset glow
改正,"revision, amendment"
改めて,once again
追放,"banishment, deportation, eviction"
放る,"fling, hurl"
開放,opening
解放,"release, setting free"
放送,broadcasting
後半,"latter half, second half"
機長,airplane captain
放す,"release, free"
郵便屋さん,mailman
郵便,"mail service, postal matter"
郵送,mailing
受け付ける,"receive/ accept (an application, inquiry), listen to (others opinion)"
成績,"results, record"
まあまあ,"OK, not bad, average"
当たり前,"of course, obvious"
下,"low class, inferiority, below"
トップ,top
次ぐ,"rank next to, come next"
がっかり,feel disappointed
がくんと,sharply
業績,"achievement, performance, results"
迷う,"be perplexed, hesitate, get lost"
サークル,"circle, club"
迷子,"lost child, lost person"
迷信,superstition
あれこれ,"this and that, one thing or another"
進路,"course, route"
線路,"line, track"
打ち合わせ,"meeting, arrangement"
打ち合わせる,"arrange, discuss"
打つ,"hit, strike"
値打ち,"value, worth, price"
更新,renewal
相づち,"responsive sounds, chiming in"
酒,"alcoholic drink, Japanese rice wine"
なま物,uncooked food
つぐ,"pour, pour into"
飲む,drink
土産,souvenir
酒屋,liquor store
消防車,fire engine
防ぐ,"prevent, defend"
あっち,"other side, there"
手前,in front
買う,buy
郵便局,post office
切手,postage stamp
薬局,"drugstore, pharmacy"
局,"bureau, public service office"
結局,"after all, finally"
届け,"report, delivery"
喜ぶ,"be happy, be delighted"
喜ばす,"please, gladden"
大喜び,"great joy, delight"
必ずしも,"not always, not necessarily"
ダイヤモンド,diamond
価値,"value, merit"
価格,"price, cost"
物価,prices
定価,fixed price
割り引く,"give a discount, make a reduction"
地価,price of land
負ける,"to lose, to be defeated"
負け,"defeat, loss"
引き分け,"draw, drawn game"
勝負,"match, victory or defeat"
言い返す,"talk back, retort"
わざと,on purpose
鳴る,"sound, ring, roar"
鳴く,"sing, cry (of animals)"
目覚まし時計,alarm clock
からす,"crow, raven"
負傷,"hurt, injury"
傷,"wound, scar"
悪化,"worsening, aggravation"
傷付ける,"hurt (someone), damage (something)"
傷つく,"get injured, be hurt"
終える,"end, finish"
済ます,finish (something)
下宿,"lodging, boarding house"
待ち合わせる,"wait for, meet by appointment"
自分,"self, oneself"
クラブ,club
する,"do, make"
やる,do
宿題,homework
代わり,substitution
さす,pour
油断,"inattention, negligence"
列車,railroad train
何十,several tens
行き,going
前進,"advancement, a forward movement"
行列,"queue, line"
列,"row, line"
受け取り,receipt
判決,"judicial decision, judgment, decree"
判断,"judgment, decision"
努力,"endeavor, effort"
日々,"daily, every day, day after day"
向上,improvement
努める,"endeavor, make efforts, try hard"
公害,environmental pollution
実る,"bear fruit, ripen"
うがい,"gargling, rinsing one's mouth"
スキー,"ski, skiing"
冬,winter
冬休み,winter vacation
安全,"safety, security"
第一,"number one, first, foremost"
下調べ,"preliminary investigation, preparation"
次第に,gradually (progress)
身,"body, one's own person"
甘い,sweet
ジュース,"juice, soft drink"
甘える,"to behave like a spoiled child, take advantage of, to depend on"
とうもろこし,"corn, maize"
甘やかす,"be indulgent to, spoil"
三つ,three (things)
三日月,"new moon, crescent moon"
バツ,"cross, x-mark (on errors, mistakes etc.)"
三日,"three days, 3rd of the month"
三角,triangle
育てる,"bring up, breed"
三,three
三流,third-rate
多忙,very busy
仕事,"work, job"
人手,"hand, manpower"
今月,this month
昼間,"daytime, day"
相変わらず,"as usual, as before"
忙しい,"busy, occupied"
暮れ,"dusk, the end (of a season or a year)"
少し,"a bit, a little while"
疲れる,"get tired, become fatigued (physically or mentally)"
ふらふら,"unsteady, dizzy, weak"
知らず知らず,"unawares, without knowing it"
疲れ,"tiredness, exhaustion"
休める,"give a rest, set at ease"
目薬,eye drops
心配,"anxiety, worry"
明日,tomorrow
無用,"useless, futile"
点,"point (of concern), dot"
配達,"delivery, distribution"
コピー,"copy, photocopy"
配る,"hand out, distribute, allot"
単に,"merely, simply"
有望,"promising, hopeful"
望ましい,"desirable, welcome"
待ち望む,"expect, look forward to"
応じる,"respond, accept, comply with"
要望,"demand, request"
失望,"disappointment, loss of hope"
望む,"to desire, to hope"
望み,"desire, hope"
団地,"housing estate, apartment complex"
座布団,cushion
ふわふわ,"soft, fluffy, spongy"
演説,"speech, address"
公演,public performance
出演,"appearance on stage, performance"
力強い,"powerful, vigorous"
職員,"staff, personnel"
専用,"exclusive use, private use"
主婦,housewife
婦人,"woman, lady, madam"
生まれる,"be born, come into existence"
産婦人科,obstetrics and gynecology
新婚,newlywed
欲,"desire, wants"
飲み物,"beverage, drink"
食欲,appetite
欲しがる,"desire, wish for, covet"
欲望,"desire, craving"
欲張り,"greed, greedy"
欲しい,"want, desire"
共通語,"common language, lingua franca"
共に,"together, both, along with"
夜明け,"dawn, daybreak"
共同,"sharing, commonality, collaboration"
心身,mind and body
公共,"public, community"
整理,"sorting, arrangement, organization"
調整,"adjustment, tuning"
整列,"forming a line, alignment"
態勢,"posture, preparedness, readiness"
激しい,"violent, intense"
降る,"fall, come down (e.g. rain)"
人通り,pedestrian traffic
年寄り,"old person, older councilor"
近寄る,"go near, approach"
空ける,"empty, clear out"
寄り道,"dropping by, going out of the way"
寄り掛かる,lean against something
洋室,Western-style room
待合室,waiting room
教室,"classroom, class"
室内,indoors
図書室,library room
病室,"patient room, ward"
事務室,office
不便,inconvenient
遠い,"far, distant"
待ち遠しい,"looking forward to, anxiously awaited"
よほど,"very, to a large extent"
わくわく,feel excited
ぼんやり,"vaguely, absent-mindedly"
遠足,"excursion, hike"
遠く,great distance
いか,squid
名刺,"business card, calling card"
刺身,"sashimi, sliced raw meat"
まぐろ,tuna
四方,"all directions, far and wide"
四,four (Chinese origin)
四,four (Japanese origin)
四日,"four days, fourth of the month"
四角い,"square, four-sided"
四角,"square, quadrilateral"
四つ角,"street corner, intersection"
真四角,square
くれる,be given
プレゼント,"present, gift"
誕生日,birthday
ケーキ,cake
誕生,"birth, formation"
二十日,"20 days, 20th of the month"
からから,"roar, laugh loudly"
げらげら,(laugh) out loud
笑顔,"smiling face, smile"
笑い声,laughter
過程,"process, course, mechanism"
決まる,be decided
変える,"change (something), alter"
行程,"distance, journey"
日程,"program, schedule"
不十分,"insufficiency, inadequate"
熱い,hot (to touch)
熱,"heat, fever"
下がる,"come down, hang down, fall"
情熱,"passion, enthusiasm"
直前,"just before, immediately prior"
熱心,"enthusiasm, zeal"
お医者さん,doctor (polite)
冷ます,"to cool (something), let cool"
発熱,"generation of heat, get a fever"
今晩,"this evening, tonight (mostly around dinner time)"
晩,evening (usually from sunset to bedtime)
おかず,"accompaniment for rice dishes, side dish"
走る,run
せっせと,"hard, diligently"
毎晩,every evening
昨晩,"last night, last evening"
学歴,educational history
経歴,"personal history, resume"
立ち直る,"recover, regain one's footing"
失敗,"failure, mistake"
勝敗,"victory or defeat, issue (of battle), outcome"
事業,"business, enterprise"
敗れる,"be defeated, be beaten"
落第,"failure, dropping out"
苦労,"difficulty, hardship"
連続,"consecutive, continuity,  succession"
労力,"labor, work, effort, trouble"
労働者,"laborer, worker"
労働,"manual labor, toil"
勤労,"labor, work, exertion, diligent service"
賞,"prize, award"
ノーベル賞,Nobel Prize
賞品,"prize, trophy"
公平,"impartiality, fairness"
忘れる,"forget, leave behind"
せめて,at least
束,"bundle, counter for bundles"
組み合わせる,"join up, join together"
花束,"bunch of flowers, bouquet"
守る,"protect, observe"
約束,"promise, vow"
分解,"taking apart, disaggregating"
内部,"interior, inner parts"
器械,"instrument (not just musical instruments), apparatus"
原理,"principle, theory"
北,north
北東,northeast
北風,north wind
位置,"position, place, location"
私,"I, myself"
人生,"human life, life"
大雪,heavy snow
窓口,teller window; counter
振り,"swing, shake"
身振り,"gesture, gesticulation"
振る,"wave, shake, brandish"
技術,"skill, technique, technology"
もてる,be popular with the opposite sex
非常に,"very, extremely"
非常,"emergency, calamity"
優れる,"to surpass, to excel"
木,"tree, wood"
倒す,"bring down, overthrow, defeat"
倒れる,"fall over, succumb"
過労,overwork
倒産,"insolvency, (corporate) bankruptcy, commercial failure, failed business"
急病,sudden illness
疲労,fatigue
面倒,"troublesome, difficult"
並木,"row of trees, roadside trees"
原因,"cause, origin"
不明,"unknown, indistinct"
敗戦,"lost battle, defeat"
断定,"conclusion, decision"
不注意,"carelessness, thoughtlessness"
因る,"be caused by, be due to"
券,"voucher, ticket"
回数券,book of (discounted) tickets
当日,the day (of the event etc.)
前売り券,advance ticket
入場券,entrance ticket
乗車券,"railway ticket, bus ticket"
経費,"expense, cost"
調節,"adjustment, control, regulation"
節約,"economizing, saving"
関節,joint
手首,wrist
神,"god, spirit"
神様,"god, the divine"
神道,Shinto
作用,"action, effect"
神社,Shinto shrine
神経,"sensitivity, nerves"
先祖,"forefather, ancestor"
風景,"scenery, landscape"
景色,"scenery, landscape"
不景気,"business depression, slump"
一面,whole surface
素晴らしい,"splendid, excellent"
背景,"background, scenery, setting"
締める,"tighten, fasten"
締め切り,"deadline, time limit"
取り締まる,"control, crack down"
どうにか,somehow
限度,"limit, bounds"
期限,"time limit, term"
上等,"first-class, premium"
同等,"equality, equivalence"
高等,"higher, high-grade"
対等,"equality, parity"
器,"vessel, dish"
高等学校,senior high school
不平等,"inequality, unfair"
当てる,"guess, hit the jackpot"
島,island (Japanese origin)
水力,"waterpower, hydraulic power"
半島,peninsula
島,island (Chinese origin)
増加,"increase, increment"
列島,archipelago
あそこ,over there
システム,system
停電,"power cut, power failure"
出入り口,"doorway, gateway"
バス停,bus stop
不通,"interruption, cessation"
中断,"interruption, discontinuance"
停留所,"Stop (bus, tram, etc.)"
停止,"stop, suspension"
固まる,"harden, solidify"
固める,"harden, strengthen"
我々,we
固い,"stiff, tight"
応募,"application (for a job, etc.)"
有する,"own, possess"
多数,"large number, multitude"
大小,sizes (various)
募集,"recruitment, collection, soliciting (donations)"
締め切る,"close up, cut off (because of deadline)"
調査,"investigation, survey, enquiry"
当局,the authorities concerned
仮,"provisional, temporary"
仮に,"temporarily, supposing that"
仮定,"assumption, supposition"
覚える,"memorize, learn"
平仮名,hiragana
仮名,"kana, Japanese syllabary"
振り仮名,reading aid in kana characters
送り仮名,kana suffix
一家,"a household, a family"
仲直り,"reconciliation, making up"
仲,"relation, relationship"
仲間,"comrade, peer"
仲良し,"good friend, chum"
夫婦,"husband and wife, married couple"
仲人,"go-between, matchmaker"
仲良く,"harmoniously, amicably"
設立,"establishment, founding"
設計,"plan, design, layout"
建設,"construction (of a building, road, bridge, etc.)"
設置,"establishment, installation"
週末,weekend
末,"last part, the end of"
年末,end of year
月末,end of the month
限る,"restrict, be limited to"
末っ子,youngest child
親しい,"intimate, familiar"
保健,"health care, hygiene"
健全,"healthy, sound, wholesome"
理想,ideal(s)
空想,"daydream, fantasy"
当たり,"hit, success"
予想,"prospect, expectation"
生ずる,"produce, yield, arise, result from"
感想,"thought, impression"
現実,"actuality, reality"
植木,"garden plant, shrub"
植える,"plant, raise"
庭,"garden, court"
植物,"plant, vegetation"
植民地,"colony, settlement"
描く,"depict, describe"
図,"figure, map"
曲線,"curve, curved line"
直線,straight line
画家,"artist, painter"
苦心,"pains, efforts"
円,circle
地面,"ground, earth's surface"
ぎらぎら,"glare, dazzle"
発電,generation of electricity
陽気,"cheerful, bright"
つまずく,"stumble, trip"
石,"stone, small rock"
原料,raw material
どうか,please
許す,"permit, license, forgive"
今回,this time
先程,"some time ago, not long ago, just now"
にわかに,"rapidly, suddenly"
暗い,"dark, dreary, shadowy"
東,"east, eastern"
ムード,mood
真っ暗,pitch-dark
必死に,desperately
暗記,memorization
足下,"step, under foot"
上達,"progress, proficiency"
コード,cord
短期,short-term
短い,"short, brief"
短所,"shortcoming, defect"
短気,short temper
短期大学,junior college
短大,junior college
辺り,"vicinity, around"
辺,"vicinity, part"
大会,"mass meeting, tournament"
低下,"falling, lowering"
低い,"low, short"
番号,"number, serial number"
直通,direct link
間違える,"mistake, confuse"
信号,"signal, traffic light"
変わる,"change, turn into"
赤,"red, crimson"
記号,"symbol, mark"
改まる,"be renewed, change"
大丈夫,"alright, OK"
体,"body, health"
歯,"tooth, cog"
程度,"degree, extent"
生まれつき,"born, by nature"
丈夫,"healthy, stout"
満ちる,"be filled, expire"
満員,full to capacity
満月,full moon
出来上がり,"completion, finish"
満点,"full marks, perfect score"
不満,"dissatisfaction, discontent"
満足,"satisfaction, contentment"
東西,east and west
北西,northwest
西洋人,Westerner
言い訳,excuse
申し訳ない,"sorry, inexcusable"
申し訳,"excuse, apology"
どうしても,"by any means, really"
通訳,"interpretation, interpreter"
訳,"reason, cause"
訳,"translation, rendering"
訳す,translate
マスコミ,mass communication
登山,mountain climbing
登校,"attending school, attendance"
山登り,mountain climbing
閉める,"shut, close (doors, windows, etc.)"
襖,sliding door
ひとりでに,"automatically, by oneself"
閉まる,"be shut, be closed"
閉店,shop closing
閉じる,"shut, close (books, eyes, etc.)"
義理,"sense of duty, justice"
主義,"principle, -ism"
共産主義,Communism
民主,democracy
意義,"meaning, significance"
資本主義,capitalism
正義,"justice, righteousness"
義務,"duty, obligation"
定義,definition
有り難い,"welcome, grateful"
もはや,"already, no longer"
助かる,"be helped, be rescued"
助ける,"help, save"
常識,"common sense, common knowledge"
意識,"consciousness, awareness"
非常識,lack of common sense
無意識,"unconsciously, without thinking"
知識,knowledge
図る,"strive for, attempt"
運営,"operation, management"
通常,"common, ordinary"
実態,"the actual situation, the realities"
実績,"achievements, track record"
経営,"management, running (business)"
担当,person in charge
役割,"part, role"
人事,"human affairs, personnel affairs"
営業,"business, sales"
担ぐ,"shoulder, carry"
担任,supervisor
分担,"assigning tasks, sharing burden"
険しい,"steep, craggy"
万一,if by any chance
問い合わせる,"inquire, contact"
保険,"insurance, guarantee"
本箱,bookcase
小,"smallness, small size"
蓋,"lid, cover"
食料,food supplies
箱,"box, case"
水色,"light blue, cyan"
確認,"confirmation, verification"
認可,"approval, authorization"
認める,"recognize, acknowledge"
解答,"solution, answer"
非常口,emergency exit
認識,"recognition, realization, acknowledgement"
例外,exception
除く,"to exclude, except"
水田,"paddy field, rice field"
田んぼ,rice field
事件,"affair, case"
捕まる,"be caught, be arrested"
集団,"group, mass"
制度,"system, organization"
無制限,"unlimited, free"
制服,uniform
制限,"restriction, limit"
体制,"system, structure"
強制,"compulsion, force"
似ている,"look like, resemble"
似る,"resemble, be alike"
好み,"taste, preference"
サングラス,sunglasses
パンツ,"pants, breeches, trousers"
似せる,"imitate, forge"
着物,"clothes, kimono"
似合う,"suit, match well"
和服,"Japanese clothes, kimono"
時々,sometimes
やはり,"as expected, also, still"
遅刻,"tardiness, lateness"
しょっちゅう,"frequently, constantly"
時刻,"time, hour"
深刻,"serious, grave"
事態,"situation, state of affairs"
ゴム,elastic
引き伸ばす,"stretch out, enlarge"
追伸,P.S.
伸びる,"stretch, grow"
勢力,"influence, power"
黒,black
黒字,"the black, surplus"
バッグ,bag
真っ黒,"deep-black, jet-black"
黒い,"black, dark"
現在,"the present, present time"
在学,in school
国会,"National Diet, parliament"
再開,"reopening, restart"
交わす,exchange (words etc.)
再来年,the year after next
再来月,the month after next
再来週,the week after next
再生,playback
敵,"enemy, foe"
アクセサリー,"accessories, jewelry"
グリーン,green
素敵,"lovely, nice"
デザイン,design
ドレス,dress
男性,"male, man"
暑中見舞い,summer greeting
おしまい,"finished, over"
見舞う,visit someone
舞台,"stage, setting"
見舞い,personal visit
記録,"record, documentation"
テープ,"tape, cassette"
録音テープ,sound-recording tape
最低,lowest
録音,sound recording
録画,videotaping
付録,"appendix, supplement"
登録,registration
テープレコーダー,"tape recorder, cassette recorder"
電池,"electric cell, battery"
ボート,boat
飛び込む,dive into
深い,"deep, profound, intimate"
きらりと,sparkle
市内,in the city
日光,"sunshine, sunlight"
観光,sightseeing
成り立つ,"consist of, be built on"
混ぜる,"blend, mix by stirring"
混雑,"confusion, disorder"
高速道路,"freeway, highway"
割合,"rate, proportion"
油,"oil, animal oil"
混ざる,"be mixed, be stirred"
混じる,"be blended, get mixed"
自宅,"one's house, one's home"
お宅,your home
職場,"place of work, office"
帰宅,return home
住宅地,residential district
ばらばら,separately
立て込む,"full of, crowded with"
夕立,sudden evening shower
ぬるい,"tepid, lukewarm"
風呂屋,"bathhouse, public bath"
風呂,bath
転ぶ,"fall over, tumble down"
比べる,"compare, contrast"
見比べる,"look from one to another, compare"
比例,"proportion, ratio"
対比,"contrast, comparison"
ズボン,"trousers, pants"
汚す,"make dirty, soil"
汚れる,"become dirty, become defiled"
汚い,dirty
靴,"shoes, boots"
汚れ,"dirt, filth"
保護者,"guardian, protector"
境,"boundary, border"
国境,national border
境界,"boundary, border"
権力,"power, authority"
人権,human rights
権利,"right, privilege"
政権,political power
支配,"domination, rule, control"
地域,"region, area"
大水,"flood, inundation"
活動,"activity, action"
住民,"residents, dwellers"
裏口,"back door, kitchen door"
裏返し,"turn over, turn inside out"
裏,"rear, reverse, inside"
くすぐる,tickle
裏表,"inside-out, front and back"
夜間,"night, nighttime"
裏返す,"turn over, turn inside out"
裏切る,betray
温帯,temperate zone
熱帯,tropics
地帯,"zone, area"
帯,"belt, sash"
有る,"exist, possess"
散らばる,be scattered
机,"desk, table"
下,"under, below"
仕舞う,put away
歳末,year end
パパ,"dad, father"
万歳,Banzai! Hurrah! Long live...!
長女,eldest daughter
二十歳,20 years old
お兄さん,older brother
病死,death from sickness
表す,"express, represent"
お歳暮,year-end gift
いとこ,cousin
良心,conscience
従業員,"employee, worker"
ストライキ,strike
法,"law, rule"
従来,"former, traditional, conventional"
戻す,"return, give back"
直ちに,"at once, immediately"
戻る,"return, turn back"
再び,"again, a second time"
本来,"originally, essentially"
大陸,continent
内陸,"inland, interior"
陸,"land, shore"
陸上,"land, shore"
着陸,landing
間もなく,"soon, in a short time"
接近,"approach, proximity"
接する,"come in contact, adjoin"
面接,interview
主,"main, chief"
間接,indirect
直接,directly
接続,"connection, joining"
本棚,bookshelf
棚,"cupboard, shelf, rack"
水平,"horizontal, level"
組み立てる,"build, set up, construct"
振動,vibration
下ろす,"bring down, take down, pull down"
野菜,vegetable
ゆでる,boil
安売り,sale
値上がり,price rise
育つ,"be brought up, grow"
大根,"daikon radish, oriental radish"
銀行,bank
金利,"interest, interest rate"
働く,work
銀,silver
おじ,(one's own) uncle
勤める,"serve, hold a job"
当時,"at that time, in those times"
母親,mother
長男,eldest son
天才,genius
春,spring
次女,second daughter
社会人,"member of society, working person"
青春,youth
春分,vernal equinox
前もって,in advance
父母,father and mother
連絡,"connection, communication"
方々,"this way and that way, all over"
次第,as soon as
関連,"relevance, connection"
勤め先,place of work
まく,"scatter, plant"
少量,"small quantity, small amount"
区,ward
区切る,"to mark off, punctuate"
区画,"division, section"
区役所,ward office
議会,legislative assembly
区別,"distinction, differentiation"
知れる,"become known, be found out"
他人,"another person, stranger"
他,other (Japanese origin)
せい,"cause, fault"
交流,"interaction, mingling"
他,"others, other things"
危ない,"dangerous, uncertain"
取り上げる,"take up, confiscate"
危険,"danger, dangerous"
区域,"zone, limits"
順調,"favourable, going well"
道順,"route, itinerary"
経過,"progression, lapse"
順位,"order, rank"
順,"order, sequence"
順番,"order, turn"
頑固,"stubborn, obstinate"
あきれる,"be astonished, be disgusted"
決勝,"finals, final game"
せいぜい,at most
試験,"test, examination"
頑張る,"persevere, do one's best"
ぶつける,bump
剥げる,"come off, peel off"
文字,"character, letter"
寝室,bedroom
壁,"wall, partition"
掛かる,"hang, splash, require"
寒暖計,thermometer
ケース,case
枚数,number of flat things
食パン,"bread, loaf of bread"
トースト,toast
割り当て,"assignment, allotment"
書類,"documents, papers"
飛ぶ,fly
鳥,"bird, poultry"
固有,"characteristic, inherent, native"
小鳥,small bird
焼き鳥,"yakitori, grilled chicken"
寺,buddhist temple
多い,"a lot of, many"
イスラム教,"Islam, Muslim religion"
お参り,visiting a shrine or temple
年月,"years, time"
金色,golden color
右,right
右手,right hand
右側,right side
歩行者,pedestrian
通路,"passage, alley"
締まる,"tighten, constrict"
突き当たる,"run into, come to the end (of a road)"
積もる,"accumulate, pile up"
積む,"pile up, accumulate"
ちり,dust
三角形,triangle
面積,"area, square measure"
平方,square
絶対,absolutely
笑い,laughter
絶えず,"constantly, always"
災難,"calamity, misfortune"
災害,"calamity, disaster"
火災,"fire, conflagration"
天災,natural disaster
案,"plan, proposal"
案内,"guide, inform"
案外,unexpectedly
答案,"examination paper, answer"
思い付く,"think of, hit upon"
案の定,"as feared, sure enough"
効く,be effective
効力,"effect, validity"
無効,"invalidity, ineffectiveness"
経済的,"economical, economic"
効き目,"effect, efficacy"
まだ,"(not) yet, still"
未婚,unmarried
未成年,"minor, underage"
未定,"undecided, pending"
論じる,"argue, discuss"
未来,future
就任,"inauguration, appointment"
就く,"set about a task, enter upon"
自動車,automobile
就職,finding employment
名,"name, reputation"
有利,"advantageous, profitable"
受ける,"get (money / praised), catch, hit, receive (reward /communication), accept (request, duty, job), have (body check, test), suffered from (illness/ critics)"
地位,"position, status"
ロボット,robot
言語,"language, speech"
打ち込む,devote oneself
東洋,Orient
要因,"primary factor, main cause"
研究,"research, study"
米,rice (grain)
作物,crop
主食,staple food
日米,Japan and U.S.
改良,"improvement, reform"
劇,"drama, play"
主役,"leading part, starring role"
劇場,theater
喜劇,comedy
昨夜,"last night, last evening (formal)"
始まり,beginning
演劇,"drama, play"
門,"gate, entrance"
ファッション,fashion
正門,"main gate, main entrance"
部門,"division, department"
専門家,"specialist, expert"
小遣い,"pocket money, spending money"
言葉遣い,"wording, language"
女性的,feminine; effeminate​
仮名遣い,"kana orthography, use of kana"
溢れる,"overflow, flood"
ポット,"pot, thermos"
湯気,"steam, vapor"
湯,"hot water, hot bath, bathhouse"
回路,circuit
保障,"guarantee, security"
ハードウェア,hardware
製品,manufactured goods
障害,"obstacle, disorder"
片方,one side
片手,one hand
片側,one side
片付く,"be put in order, be settled"
片付ける,"put in order, dispose of, do away with"
片仮名,katakana
後片付け,cleaning up
準急,local express
水準,"level, standard"
詳しい,"detailed, complete"
注,"annotation, explanatory note"
地理,geography
通知,notification
ファックス,"facsimile, fax"
印,"mark, symbol"
目印,"landmark, sign"
題名,title
坊さん,Buddhist priest
寝坊,"late riser, oversleeping"
笑う,"laugh, smile"
